,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
1416425,1517225,16066025,1756,False,1,1,57,5.7e-05,0.911765,0.29634,94,LeakyReLU(negative_slope=0.01),256,0.97479,0.944855,0.911765,0.812404,0.960784,0.914742,1.0,1.0,False,0.04201666666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.7163535025746595,smallest_euclidian_holdout_test_utopic
1421563,1522363,16071163,1076,False,2,2,77,5.3e-05,0.926471,0.228406,83,ReLU(),176,0.987395,0.972369,0.926471,0.84314,0.973856,0.942921,0.970588,0.938679,False,0.040615999999999985,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.6281917984491097,smallest_euclidian_holdout_test_utopic
1425589,1526389,16075189,2296,False,6,6,97,5.3e-05,0.955882,0.178499,95,LeakyReLU(negative_slope=0.01),296,0.987395,0.972369,0.955882,0.905068,0.980392,0.957105,0.970588,0.938679,True,0.021008666666666675,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.5881979009527533,smallest_euclidian_holdout_test_utopic
1429830,1530630,16079430,2292,False,6,6,93,5e-05,0.955882,0.189977,76,LeakyReLU(negative_slope=0.01),292,0.970588,0.935441,0.955882,0.905068,0.970588,0.935533,0.970588,0.938679,True,0.009803999999999998,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.5686253590683984,smallest_euclidian_holdout_test_utopic
1437524,1538324,16087124,3693,False,4,4,94,5.2e-05,0.941176,0.2611,78,GELU(approximate=False),493,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,1.0,1.0,False,0.02521066666666664,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.5680057007405381,smallest_euclidian_holdout_test_utopic
1443957,1544757,16093557,1780,False,1,1,81,5.4e-05,0.926471,0.175828,91,LeakyReLU(negative_slope=0.01),280,0.978992,0.953997,0.926471,0.838462,0.973856,0.942668,0.970588,0.938679,True,0.035013999999999955,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.6281336126197226,smallest_euclidian_holdout_test_utopic
1449588,1550388,16099188,2189,False,5,5,90,5.3e-05,0.926471,0.244973,91,LeakyReLU(negative_slope=0.01),289,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,1.0,1.0,False,0.03781466666666663,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.6007470908525951,smallest_euclidian_holdout_test_utopic
1455491,1556291,16105091,1655,False,0,0,56,6e-05,0.911765,0.255461,98,LeakyReLU(negative_slope=0.01),255,0.987395,0.972369,0.911765,0.812404,0.970588,0.935853,1.0,1.0,False,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.7254601741904341,smallest_euclidian_holdout_test_utopic
1459115,1559915,16108715,1291,False,4,4,92,5.2e-05,0.955882,0.170163,99,ReLU(),191,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,1.0,1.0,False,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.6058350484224551,smallest_euclidian_holdout_test_utopic
1464381,1565181,16113981,2090,False,4,4,91,5.2e-05,0.955882,0.154756,96,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.905068,0.973856,0.942668,0.970588,0.938679,True,0.015406666666666643,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.6054687334470179,smallest_euclidian_holdout_test_utopic
