,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1415326,1516126,16064926,3204,False,0,0,5,0.000125,0.897059,0.405424,96,GELU(approximate=False),404,0.936975,0.861675,0.897059,0.774559,0.928105,0.841375,0.941176,0.882735,True,0.026610666666666633,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9337209875192761,topsis_all_overall_acc_except_test
0,1416888,1517688,16066488,1701,False,1,1,2,0.000133,0.926471,0.459845,92,LeakyReLU(negative_slope=0.01),201,0.92437,0.832995,0.926471,0.838462,0.924837,0.834059,0.882353,0.757681,True,0.0014006666666666796,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9301544628315556,topsis_all_overall_acc_except_test
0,1423158,1523958,16072758,906,False,1,1,7,0.000114,0.911765,0.281454,98,ReLU(),106,0.920168,0.823618,0.911765,0.812404,0.918301,0.819854,0.911765,0.804824,True,0.005601999999999959,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9184201528157,topsis_all_overall_acc_except_test
0,1430023,1530823,16079623,2309,False,7,7,10,0.0001,0.911765,0.305795,98,LeakyReLU(negative_slope=0.01),209,0.928571,0.842751,0.911765,0.812404,0.924837,0.835219,0.911765,0.804824,True,0.011203999999999992,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9287684633798878,topsis_all_overall_acc_except_test
0,1435010,1535810,16084610,3905,False,7,7,6,0.000117,0.941176,0.291568,92,GELU(approximate=False),405,0.928571,0.842751,0.941176,0.874007,0.931373,0.849414,0.941176,0.871212,True,0.008403333333333318,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9337918294698216,topsis_all_overall_acc_except_test
0,1440570,1541370,16090170,1909,False,3,3,10,7.6e-05,0.955882,0.351489,94,LeakyReLU(negative_slope=0.01),209,0.941176,0.870458,0.955882,0.904776,0.947712,0.884919,0.970588,0.938679,True,0.009803999999999998,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.940711905440838,topsis_all_overall_acc_except_test
0,1446403,1547203,16096003,3408,False,2,2,9,0.000111,0.911765,0.325943,95,GELU(approximate=False),408,0.92437,0.833113,0.911765,0.80647,0.921569,0.827049,0.911765,0.804824,True,0.008403333333333318,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9259437989464672,topsis_all_overall_acc_except_test
0,1454418,1555218,16104018,809,False,0,0,10,8.4e-05,0.911765,0.371782,93,ReLU(),109,0.962185,0.91747,0.911765,0.812404,0.954248,0.899401,0.941176,0.871212,True,0.03361333333333327,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9303443755842136,topsis_all_overall_acc_except_test
0,1457213,1558013,16106813,1004,False,2,2,5,0.000103,0.941176,0.410038,90,ReLU(),104,0.94958,0.88961,0.941176,0.874007,0.947712,0.884919,0.852941,0.707257,True,0.005602666666666645,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9402797934362916,topsis_all_overall_acc_except_test
0,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9416368917995287,topsis_all_overall_acc_except_test
