,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1415326,1516126,16064926,3204,False,0,0,5,0.000125,0.897059,0.405424,96,GELU(approximate=False),404,0.936975,0.861675,0.897059,0.774559,0.928105,0.841375,0.941176,0.882735,True,0.026610666666666633,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9273231158530477,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1416888,1517688,16066488,1701,False,1,1,2,0.000133,0.926471,0.459845,92,LeakyReLU(negative_slope=0.01),201,0.92437,0.832995,0.926471,0.838462,0.924837,0.834059,0.882353,0.757681,True,0.0014006666666666796,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9303670042214794,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1424086,1524886,16073686,902,False,1,1,3,0.00013,0.911765,0.40147,89,ReLU(),102,0.928571,0.842661,0.911765,0.812404,0.924837,0.834059,0.941176,0.882735,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9200579137545074,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1428733,1529533,16078333,3607,False,4,4,8,0.000103,0.926471,0.312753,87,GELU(approximate=False),407,0.932773,0.851971,0.926471,0.838462,0.931373,0.848947,0.970588,0.938679,True,0.004201333333333279,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9351264740187573,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1435010,1535810,16084610,3905,False,7,7,6,0.000117,0.941176,0.291568,92,GELU(approximate=False),405,0.928571,0.842751,0.941176,0.874007,0.931373,0.849414,0.941176,0.871212,True,0.008403333333333318,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.934948721915864,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1440570,1541370,16090170,1909,False,3,3,10,7.6e-05,0.955882,0.351489,94,LeakyReLU(negative_slope=0.01),209,0.941176,0.870458,0.955882,0.904776,0.947712,0.884919,0.970588,0.938679,True,0.009803999999999998,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9387437470775416,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1445498,1546298,16095098,3603,False,4,4,4,0.000131,0.926471,0.320979,90,GELU(approximate=False),403,0.920168,0.823826,0.926471,0.84314,0.921569,0.827489,0.911765,0.804824,True,0.004202000000000039,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.930213120783153,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1454418,1555218,16104018,809,False,0,0,10,8.4e-05,0.911765,0.371782,93,ReLU(),109,0.962185,0.91747,0.911765,0.812404,0.954248,0.899401,0.941176,0.871212,True,0.03361333333333327,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9282687578395502,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1457213,1558013,16106813,1004,False,2,2,5,0.000103,0.941176,0.410038,90,ReLU(),104,0.94958,0.88961,0.941176,0.874007,0.947712,0.884919,0.852941,0.707257,True,0.005602666666666645,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9508497694073408,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9422080112043623,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1468903,1569703,16118503,3811,False,6,6,12,0.00011,0.926471,0.25336,95,GELU(approximate=False),411,0.941176,0.87083,0.926471,0.838462,0.937908,0.863643,0.941176,0.871212,True,0.009803333333333311,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.918487159745738,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1475450,1576250,16125050,3205,False,0,0,6,0.000126,0.955882,0.282864,91,GELU(approximate=False),405,0.936975,0.861057,0.955882,0.905068,0.941176,0.870483,0.941176,0.871212,True,0.012604666666666672,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9409024886352934,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1478872,1579672,16128472,3402,False,2,2,3,0.000133,0.911765,0.39447,91,GELU(approximate=False),402,0.920168,0.824351,0.911765,0.80647,0.918301,0.820351,0.911765,0.804824,True,0.005601999999999959,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9276278579769244,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1485599,1586399,16135199,3604,False,4,4,5,0.000107,0.926471,0.287648,75,GELU(approximate=False),404,0.911765,0.805991,0.926471,0.837919,0.915033,0.812666,0.941176,0.871212,True,0.009803999999999998,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9145960109736877,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1490487,1591287,16140087,2009,False,4,4,10,9e-05,0.941176,0.244413,93,LeakyReLU(negative_slope=0.01),209,0.932773,0.851793,0.941176,0.874007,0.934641,0.855904,0.941176,0.882735,True,0.005602000000000033,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9221835492212312,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1497621,1598421,16147221,3603,False,4,4,4,0.000125,0.911765,0.371725,92,GELU(approximate=False),403,0.941176,0.870458,0.911765,0.804824,0.934641,0.855904,0.911765,0.812032,True,0.01960733333333331,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9351939715762573,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1502195,1602995,16151795,1209,False,4,4,10,9.3e-05,0.911765,0.270014,96,ReLU(),109,0.928571,0.842386,0.911765,0.804824,0.924837,0.834056,0.970588,0.938679,True,0.011203999999999992,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.90192195568226,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1510048,1610848,16159648,2103,False,5,5,4,7.7e-05,0.955882,0.545698,29,LeakyReLU(negative_slope=0.01),203,0.903361,0.78889,0.955882,0.905068,0.915033,0.814944,0.852941,0.685385,True,0.035014000000000024,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9223133307079245,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
0,1516738,1617538,16166338,5206,False,4,4,7,8.8e-05,0.828947,0.414059,91,Tanh(),606,0.780075,0.495949,0.828947,0.608802,0.790936,0.520757,0.789474,0.51821,True,0.03258133333333335,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9160075979004876,topsis_best_rank_architecture_pareto_train_validation_holdout_no_epochs
