,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1415326,1516126,16064926,3204,False,0,0,5,0.000125,0.897059,0.405424,96,GELU(approximate=False),404,0.936975,0.861675,0.897059,0.774559,0.928105,0.841375,0.941176,0.882735,True,0.026610666666666633,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9379704748639706,topsis_pareto_holdout_oracle
0,1421690,1522490,16071290,1310,False,5,5,11,9.4e-05,0.867647,0.305227,99,ReLU(),110,0.932773,0.85254,0.867647,0.710669,0.918301,0.82105,0.941176,0.871212,True,0.04341733333333334,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9293611034956423,topsis_pareto_holdout_oracle
0,1424091,1524891,16073691,3703,False,5,5,4,0.000121,0.911765,0.361377,90,GELU(approximate=False),403,0.928571,0.842412,0.911765,0.812404,0.924837,0.834634,0.970588,0.938679,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9313080037151777,topsis_pareto_holdout_oracle
0,1430457,1531257,16080057,2902,False,5,5,3,0.000109,0.882353,0.373409,96,SELU(),302,0.903361,0.786774,0.882353,0.751068,0.898693,0.777612,0.941176,0.871212,True,0.014005333333333278,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9353470630586189,topsis_pareto_holdout_oracle
0,1435010,1535810,16084610,3905,False,7,7,6,0.000117,0.941176,0.291568,92,GELU(approximate=False),405,0.928571,0.842751,0.941176,0.874007,0.931373,0.849414,0.941176,0.871212,True,0.008403333333333318,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9273321736611807,topsis_pareto_holdout_oracle
0,1440570,1541370,16090170,1909,False,3,3,10,7.6e-05,0.955882,0.351489,94,LeakyReLU(negative_slope=0.01),209,0.941176,0.870458,0.955882,0.904776,0.947712,0.884919,0.970588,0.938679,True,0.009803999999999998,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9444990700264735,topsis_pareto_holdout_oracle
0,1449556,1550356,16099156,4907,False,1,1,8,8.7e-05,0.867647,0.330223,99,Tanh(),607,0.92437,0.833113,0.867647,0.710669,0.908497,0.798305,0.941176,0.871212,True,0.03781533333333339,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9229246820311611,topsis_pareto_holdout_oracle
0,1453623,1554423,16103223,1307,False,5,5,8,0.00011,0.955882,0.268294,95,ReLU(),107,0.920168,0.824351,0.955882,0.905068,0.931373,0.850086,0.970588,0.938679,True,0.02380933333333335,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9408060613479352,topsis_pareto_holdout_oracle
0,1458348,1559148,16107948,3503,False,3,3,4,0.000128,0.941176,0.345442,95,GELU(approximate=False),403,0.92437,0.832995,0.941176,0.870603,0.928105,0.841324,0.970588,0.938679,True,0.011203999999999992,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9482532136323661,topsis_pareto_holdout_oracle
0,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9457870703676479,topsis_pareto_holdout_oracle
0,1470696,1571496,16120296,1904,False,3,3,5,0.00014,0.897059,0.34438,96,LeakyReLU(negative_slope=0.01),204,0.932773,0.851971,0.897059,0.771855,0.924837,0.83425,0.941176,0.871212,True,0.023809333333333276,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9336152812997149,topsis_pareto_holdout_oracle
0,1475450,1576250,16125050,3205,False,0,0,6,0.000126,0.955882,0.282864,91,GELU(approximate=False),405,0.936975,0.861057,0.955882,0.905068,0.941176,0.870483,0.941176,0.871212,True,0.012604666666666672,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9272443087406772,topsis_pareto_holdout_oracle
0,1481983,1582783,16131583,2808,False,4,4,9,7.3e-05,0.867647,0.319547,95,SELU(),308,0.92437,0.833545,0.867647,0.705978,0.915033,0.812666,0.941176,0.871212,True,0.03781533333333339,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9219443827711362,topsis_pareto_holdout_oracle
0,1487158,1587958,16136758,3410,False,2,2,11,9.9e-05,0.897059,0.252241,99,GELU(approximate=False),410,0.928571,0.842412,0.897059,0.771855,0.921569,0.826803,0.970588,0.938679,True,0.02100799999999999,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9298657254134333,topsis_pareto_holdout_oracle
