,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1416425,1517225,16066025,1756,False,1,1,57,5.7e-05,0.911765,0.29634,94,LeakyReLU(negative_slope=0.01),256,0.97479,0.944855,0.911765,0.812404,0.960784,0.914742,1.0,1.0,True,0.04201666666666667,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9888131232565697,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1420374,1521174,16069974,3381,False,1,1,82,5.8e-05,0.941176,0.208944,97,GELU(approximate=False),481,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,0.970588,0.938679,True,0.028011333333333315,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,1.0,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1425589,1526389,16075189,2296,False,6,6,97,5.3e-05,0.955882,0.178499,95,LeakyReLU(negative_slope=0.01),296,0.987395,0.972369,0.955882,0.905068,0.980392,0.957105,0.970588,0.938679,True,0.021008666666666675,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9681666258653012,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1429830,1530630,16079430,2292,False,6,6,93,5e-05,0.955882,0.189977,76,LeakyReLU(negative_slope=0.01),292,0.970588,0.935441,0.955882,0.905068,0.970588,0.935533,0.970588,0.938679,True,0.009803999999999998,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,1.0,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1437524,1538324,16087124,3693,False,4,4,94,5.2e-05,0.941176,0.2611,78,GELU(approximate=False),493,0.978992,0.953997,0.941176,0.874007,0.970588,0.935853,1.0,1.0,True,0.02521066666666664,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9926118055850619,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1443957,1544757,16093557,1780,False,1,1,81,5.4e-05,0.926471,0.175828,91,LeakyReLU(negative_slope=0.01),280,0.978992,0.953997,0.926471,0.838462,0.973856,0.942668,0.970588,0.938679,True,0.035013999999999955,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,1.0,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1449588,1550388,16099188,2189,False,5,5,90,5.3e-05,0.926471,0.244973,91,LeakyReLU(negative_slope=0.01),289,0.983193,0.963168,0.926471,0.84314,0.970588,0.935853,1.0,1.0,True,0.03781466666666663,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.996282420626868,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1455491,1556291,16105091,1655,False,0,0,56,6e-05,0.911765,0.255461,98,LeakyReLU(negative_slope=0.01),255,0.987395,0.972369,0.911765,0.812404,0.970588,0.935853,1.0,1.0,True,0.050419999999999986,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.9926118055850619,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1459115,1559915,16108715,1291,False,4,4,92,5.2e-05,0.955882,0.170163,99,ReLU(),191,0.978992,0.953997,0.955882,0.905068,0.973856,0.942921,1.0,1.0,True,0.015406666666666643,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9963018633324892,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1464381,1565181,16113981,2090,False,4,4,91,5.2e-05,0.955882,0.154756,96,LeakyReLU(negative_slope=0.01),290,0.978992,0.95392,0.955882,0.905068,0.973856,0.942668,0.970588,0.938679,True,0.015406666666666643,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,1.0,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1472587,1573387,16122187,1061,False,2,2,62,5.7e-05,0.897059,0.270267,98,ReLU(),161,0.978992,0.95392,0.897059,0.781736,0.960784,0.914222,1.0,1.0,True,0.05462199999999995,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9815906107809054,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1474657,1575457,16124257,2169,False,5,5,70,5.4e-05,0.970588,0.141703,97,LeakyReLU(negative_slope=0.01),269,0.983193,0.963168,0.970588,0.936382,0.980392,0.957105,0.970588,0.938679,True,0.008403333333333318,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.9681666258653012,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1481826,1582626,16131426,3291,False,0,0,92,5.3e-05,0.926471,0.280371,86,GELU(approximate=False),491,0.978992,0.953997,0.926471,0.84314,0.970588,0.935853,0.970588,0.938679,True,0.035013999999999955,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.9681666258653012,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1488814,1589614,16138414,1349,False,5,5,50,5.7e-05,0.897059,0.214604,95,ReLU(),149,0.966387,0.926165,0.897059,0.781736,0.95098,0.89253,1.0,1.0,True,0.04621866666666663,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9706439542696168,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1491789,1592589,16141389,1195,False,3,3,96,4.8e-05,0.955882,0.169476,78,ReLU(),195,0.97479,0.944667,0.955882,0.905068,0.970588,0.935533,1.0,1.0,True,0.012605333333333357,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.988987344941231,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1498070,1598870,16147670,1594,False,7,7,95,5.2e-05,0.941176,0.191707,99,ReLU(),194,0.97479,0.944855,0.941176,0.870603,0.96732,0.928414,1.0,1.0,True,0.022409333333333354,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9853325818342918,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1504355,1605155,16153955,3891,False,6,6,92,5.5e-05,0.941176,0.213729,91,GELU(approximate=False),491,0.983193,0.963168,0.941176,0.874007,0.973856,0.942921,1.0,1.0,True,0.028011333333333315,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9963018633324892,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1509981,1610781,16159581,1068,False,2,2,69,5.5e-05,0.926471,0.246471,99,ReLU(),168,0.978992,0.954169,0.926471,0.837919,0.96732,0.928451,0.970588,0.938679,True,0.035013999999999955,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9962627724040335,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
0,1516855,1617655,16166455,1165,False,3,3,66,4.9e-05,0.763158,0.460669,97,ReLU(),165,0.815789,0.577981,0.763158,0.448359,0.804094,0.549691,0.815789,0.576804,True,0.035087333333333325,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.9637780100586036,topsis_pareto_oracle_holdout_no_epochs_no_num_neurons
