,level_0,index,Unnamed: 0,model_id,selected,fold,repetition,num_neurons,weight_regularization,monitored_metric,loss,epoch,activation_name,architecture_id,train_overall_acc,train_matthews_corrcoef,validation_overall_acc,validation_matthews_corrcoef,holdout_overall_acc,holdout_matthews_corrcoef,test_overall_acc,test_matthews_corrcoef,dominant_solution,mean_diffs,dataset,run,experiment,validation_loss,holdout_loss,rank,policy
0,1414197,1514997,16063797,911,False,1,1,12,8.4e-05,0.911765,0.322661,97,ReLU(),111,0.936975,0.861677,0.911765,0.812404,0.931373,0.850086,0.970588,0.938679,True,0.016806666666666636,ionosphere,17,exp0090_politica_1_oracle_1m1l,,,0.9302137045199796,topsis_pareto_oracle_holdout_validation_train
0,1417933,1518733,16067533,2011,False,4,4,12,8.8e-05,0.911765,0.247986,99,LeakyReLU(negative_slope=0.01),211,0.92437,0.833545,0.911765,0.80647,0.924837,0.834634,0.941176,0.871212,True,0.008714666666666648,ionosphere,18,exp0090_politica_1_oracle_1m1l,,,0.9219732956867839,topsis_pareto_oracle_holdout_validation_train
0,1424091,1524891,16073691,3703,False,5,5,4,0.000121,0.911765,0.361377,90,GELU(approximate=False),403,0.928571,0.842412,0.911765,0.812404,0.924837,0.834634,0.970588,0.938679,True,0.011203999999999992,ionosphere,2,exp0090_politica_1_oracle_1m1l,,,0.9221040790862536,topsis_pareto_oracle_holdout_validation_train
0,1430020,1530820,16079620,3408,False,2,2,9,0.000103,0.911765,0.31146,92,GELU(approximate=False),408,0.928571,0.842661,0.911765,0.80647,0.928105,0.841375,0.941176,0.871212,True,0.011203999999999992,ionosphere,5,exp0090_politica_1_oracle_1m1l,,,0.9289234412684114,topsis_pareto_oracle_holdout_validation_train
0,1435010,1535810,16084610,3905,False,7,7,6,0.000117,0.941176,0.291568,92,GELU(approximate=False),405,0.928571,0.842751,0.941176,0.874007,0.931373,0.849414,0.941176,0.871212,True,0.008403333333333318,ionosphere,0,exp0090_politica_1_oracle_1m1l,,,0.9291541930249095,topsis_pareto_oracle_holdout_validation_train
0,1440570,1541370,16090170,1909,False,3,3,10,7.6e-05,0.955882,0.351489,94,LeakyReLU(negative_slope=0.01),209,0.941176,0.870458,0.955882,0.904776,0.947712,0.884919,0.970588,0.938679,True,0.009803999999999998,ionosphere,13,exp0090_politica_1_oracle_1m1l,,,0.9460613259277535,topsis_pareto_oracle_holdout_validation_train
0,1449341,1550141,16098941,913,False,1,1,14,8e-05,0.897059,0.307063,95,ReLU(),113,0.94958,0.889189,0.897059,0.774559,0.937908,0.863643,0.941176,0.871212,True,0.035013999999999955,ionosphere,14,exp0090_politica_1_oracle_1m1l,,,0.9191671543673806,topsis_pareto_oracle_holdout_validation_train
0,1453623,1554423,16103223,1307,False,5,5,8,0.00011,0.955882,0.268294,95,ReLU(),107,0.920168,0.824351,0.955882,0.905068,0.931373,0.850086,0.970588,0.938679,True,0.02380933333333335,ionosphere,11,exp0090_politica_1_oracle_1m1l,,,0.933189221793175,topsis_pareto_oracle_holdout_validation_train
0,1458348,1559148,16107948,3503,False,3,3,4,0.000128,0.941176,0.345442,95,GELU(approximate=False),403,0.92437,0.832995,0.941176,0.870603,0.928105,0.841324,0.970588,0.938679,True,0.011203999999999992,ionosphere,4,exp0090_politica_1_oracle_1m1l,,,0.9385119248598409,topsis_pareto_oracle_holdout_validation_train
0,1462529,1563329,16112129,3708,False,5,5,9,0.0001,0.941176,0.261999,93,GELU(approximate=False),408,0.94958,0.889018,0.941176,0.870603,0.947712,0.884895,0.970588,0.938679,True,0.005602666666666645,ionosphere,8,exp0090_politica_1_oracle_1m1l,,,0.9469659904814962,topsis_pareto_oracle_holdout_validation_train
0,1468903,1569703,16118503,3811,False,6,6,12,0.00011,0.926471,0.25336,95,GELU(approximate=False),411,0.941176,0.87083,0.926471,0.838462,0.937908,0.863643,0.941176,0.871212,True,0.009803333333333311,ionosphere,10,exp0090_politica_1_oracle_1m1l,,,0.9221666736382524,topsis_pareto_oracle_holdout_validation_train
0,1475450,1576250,16125050,3205,False,0,0,6,0.000126,0.955882,0.282864,91,GELU(approximate=False),405,0.936975,0.861057,0.955882,0.905068,0.941176,0.870483,0.941176,0.871212,True,0.012604666666666672,ionosphere,7,exp0090_politica_1_oracle_1m1l,,,0.930863738300075,topsis_pareto_oracle_holdout_validation_train
0,1480675,1581475,16130275,3812,False,6,6,13,8.5e-05,0.911765,0.292256,99,GELU(approximate=False),412,0.945378,0.879773,0.911765,0.804824,0.937908,0.863176,0.941176,0.882735,True,0.02240866666666667,ionosphere,12,exp0090_politica_1_oracle_1m1l,,,0.927041162303058,topsis_pareto_oracle_holdout_validation_train
0,1484651,1585451,16134251,3414,False,2,2,15,8.4e-05,0.926471,0.237753,95,GELU(approximate=False),414,0.932773,0.851727,0.926471,0.838462,0.931373,0.848677,0.970588,0.938679,True,0.004201333333333279,ionosphere,3,exp0090_politica_1_oracle_1m1l,,,0.9183805845932852,topsis_pareto_oracle_holdout_validation_train
0,1490487,1591287,16140087,2009,False,4,4,10,9e-05,0.941176,0.244413,93,LeakyReLU(negative_slope=0.01),209,0.932773,0.851793,0.941176,0.874007,0.934641,0.855904,0.941176,0.882735,True,0.005602000000000033,ionosphere,15,exp0090_politica_1_oracle_1m1l,,,0.9224105616592205,topsis_pareto_oracle_holdout_validation_train
0,1496094,1596894,16145694,3510,False,3,3,11,8.8e-05,0.941176,0.20879,93,GELU(approximate=False),410,0.928571,0.842412,0.941176,0.874007,0.931373,0.848947,0.970588,0.938679,True,0.008403333333333318,ionosphere,1,exp0090_politica_1_oracle_1m1l,,,0.9282400023794757,topsis_pareto_oracle_holdout_validation_train
0,1502195,1602995,16151795,1209,False,4,4,10,9.3e-05,0.911765,0.270014,96,ReLU(),109,0.928571,0.842386,0.911765,0.804824,0.924837,0.834056,0.970588,0.938679,True,0.011203999999999992,ionosphere,16,exp0090_politica_1_oracle_1m1l,,,0.9173135797378622,topsis_pareto_oracle_holdout_validation_train
0,1507735,1608535,16157335,809,False,0,0,10,0.000101,0.897059,0.340533,99,ReLU(),109,0.92437,0.833657,0.897059,0.774559,0.918301,0.819513,0.941176,0.871212,True,0.018207333333333315,ionosphere,6,exp0090_politica_1_oracle_1m1l,,,0.9233106166468612,topsis_pareto_oracle_holdout_validation_train
0,1517197,1617997,16166797,5203,False,4,4,4,0.000108,0.835526,0.417256,97,Tanh(),603,0.766917,0.465791,0.835526,0.624089,0.782164,0.500278,0.802632,0.546779,True,0.045739333333333354,diabetes,17,exp0090_politica_1_oracle_1m1l,,,0.912998556434856,topsis_pareto_oracle_holdout_validation_train
0,1518423,1619223,16168023,5004,False,2,2,5,8.8e-05,0.782895,0.456467,94,Tanh(),604,0.791353,0.51906,0.782895,0.507722,0.789474,0.516016,0.802632,0.546779,True,0.005638666666666643,diabetes,18,exp0090_politica_1_oracle_1m1l,,,0.9373761621107192,topsis_pareto_oracle_holdout_validation_train
0,1527808,1628608,16177408,2904,False,5,5,5,8.2e-05,0.835526,0.430463,89,SELU(),304,0.770677,0.468831,0.835526,0.625925,0.78655,0.508136,0.802632,0.546779,True,0.0432326666666667,diabetes,2,exp0090_politica_1_oracle_1m1l,,,0.8561831036647214,topsis_pareto_oracle_holdout_validation_train
0,1534144,1634944,16183744,4903,False,1,1,4,9.4e-05,0.868421,0.380075,99,Tanh(),603,0.753759,0.431594,0.868421,0.702229,0.777778,0.489096,0.789474,0.51382,True,0.07644133333333336,diabetes,5,exp0090_politica_1_oracle_1m1l,,,0.9276242932065012,topsis_pareto_oracle_holdout_validation_train
0,1534873,1635673,16184473,3503,False,3,3,4,0.000149,0.789474,0.437829,97,GELU(approximate=False),403,0.785714,0.509474,0.789474,0.515768,0.78655,0.510811,0.815789,0.579365,True,0.002506666666666657,diabetes,0,exp0090_politica_1_oracle_1m1l,,,0.937124776343835,topsis_pareto_oracle_holdout_validation_train
0,1541248,1642048,16190848,1505,False,7,7,6,8.9e-05,0.802632,0.465624,83,ReLU(),105,0.793233,0.524338,0.802632,0.544211,0.795322,0.528155,0.789474,0.512022,True,0.006266000000000031,diabetes,13,exp0090_politica_1_oracle_1m1l,,,0.8648122437007448,topsis_pareto_oracle_holdout_validation_train
